Placement,Product
PK4HPT_MOTORING.CO.UK_CX-3 Keywords_300 x 250_Cross Device_Site Specific,Motoring Keyword Targeting
PK4HQH_MOTORING.CO.UK_CX-5 Keywords_300 x 250_Cross Device_Site Specific,Motoring Keyword Targeting
PK4J99_MOTORING.CO.UK_Added Value_300 x 250_Cross Device_Site Specific,Motoring Added Value
PK3RLV_Auto Car_Mazda 2 Keywords_300 x 250_Cross Device_Site Specific,Auto Car Keyword Targeting MPU
PK3T7V_AUTO CAR_Mazda 2 Keywords_320 x 50_Mobile_Site Specific,Auto Car Keyword Targeting Mobile Banner
PK3TGZ_AUTO CAR_Mazda 3 Keywords_300 x 250_Cross Device_Site Specific,Auto Car Keyword Targeting MPU
PK3THB_AUTO CAR_Mazda 3 Keywords_320 x 50_Mobile_Site Specific,Auto Car Keyword Targeting Mobile Banner
PK3TRL_AUTO CAR_Mazda 6 Keywords_300 x 250_Cross Device_Site Specific,Auto Car Keyword Targeting MPU
PK3TRS_AUTO CAR_Mazda 6 Keywords_320 x 50_Mobile_Site Specific,Auto Car Keyword Targeting Mobile Banner
PK3V1J_AUTO CAR_MX-5 Keywords_300 x 250_Cross Device_Site Specific,Auto Car Keyword Targeting MPU
PK3V2D_AUTO CAR_MX-5 Keywords_320 x 50_Mobile_Site Specific,Auto Car Keyword Targeting Mobile Banner
PK3V6B_AUTO CAR_CX-3 Keywords_300 x 250_Cross Device_Site Specific,Auto Car Keyword Targeting MPU
PK3V6P_AUTO CAR_CX-3 Keywords_320 x 50_Mobile_Site Specific,Auto Car Keyword Targeting Mobile Banner
PK3V9G_AUTO CAR_CX-5 Keywords_300 x 250_Cross Device_Site Specific,Auto Car Keyword Targeting MPU
PK3V9Q_AUTO CAR_CX-5 Keywords_320 x 50_Mobile_Site Specific,Auto Car Keyword Targeting Mobile Banner
PK3VDZ_WhatCar_Mazda 2 Keywords_300 x 250_Cross Device_Site Specific,WhatCar Keyword Targeting MPU
PK3VF7_WhatCar_Mazda 2 Keywords_320 x 50_Mobile_Site Specific,WhatCar Keyword Targeting Mobile Banner
PK3VHN_Whatcar_Mazda 3 Keywords_300 x 250_Cross Device_Site Specific,WhatCar Keyword Targeting MPU
PK3VHP_Whatcar_Mazda 3 Keywords_320 x 50_Mobile_Site Specific,WhatCar Keyword Targeting Mobile Banner
PK3VPS_Whatcar_Mazda 6 Keywords_300 x 250_Cross Device_Site Specific,WhatCar Keyword Targeting MPU
PK3VQ1_Whatcar_Mazda 6 Keywords_320 x 50_Mobile_Site Specific,WhatCar Keyword Targeting Mobile Banner
PK3VR4_Whatcar_MX-5 Keywords_300 x 250_Cross Device_Site Specific,WhatCar Keyword Targeting MPU
PK3VR5_Whatcar_MX-5 Keywords_320 x 50_Mobile_Site Specific,WhatCar Keyword Targeting Mobile Banner
PK3VZ6_Whatcar_CX-3 Keywords_300 x 250_Cross Device_Site Specific,WhatCar Keyword Targeting MPU
PK3VZ8_Whatcar_CX-3 Keywords_320 x 50_Mobile_Site Specific,WhatCar Keyword Targeting Mobile Banner
PK3VZQ_Whatcar_CX-5 Keywords_300 x 250_Cross Device_Site Specific,WhatCar Keyword Targeting MPU
PK3VZY_Whatcar_CX-5 Keywords_320 x 50_Mobile_Site Specific,WhatCar Keyword Targeting Mobile Banner
PK4J68_WhatCar_Mazda 2 Added Value_728 x 90_Cross Device_Site Specific,WhatCar Added Value
PK4J6D_Auto Car_Mazda 2 Added Value_728 x 90_Cross Device_Site Specific,Auto Car Added Value
PK4HGN_HONEST JOHN_Mazda 2 Keywords_300 x 250_Cross Device_Site Specific,Honest John Keyword Targeting
PK4HGP_HONEST JOHN_Mazda 3 Keywords_300 x 250_Cross Device_Site Specific,Honest John Keyword Targeting
PK4HGQ_HONEST JOHN_Mazda 6 Keywords_300 x 250_Cross Device_Site Specific,Honest John Keyword Targeting
PK4HGV_HONEST JOHN_MX-5 Keywords_300 x 250_Cross Device_Site Specific,Honest John Keyword Targeting
PK4HHX_HONEST JOHN_CX-3 Keywords_300 x 250_Cross Device_Site Specific,Honest John Keyword Targeting
PK4HJR_HONEST JOHN_CX-5 Keywords_300 x 250_Cross Device_Site Specific,Honest John Keyword Targeting
DataXu Mazda 2 financial 468x60,DataXu Financial
DataXu Mazda 2 financial 728x90,DataXu Financial
DataXu Mazda 3 brochure 300x250,DataXu Brochure
DataXu Mazda 3 financial 300x250,DataXu Financial
DataXu Mazda 6 brochure 300x250,DataXu Brochure
DataXu Mazda 6 brochure 728x90,DataXu Brochure
DataXu Mazda MX5 brochure 120x600,DataXu Brochure
DataXu Mazda MX5 brochure 468x60,DataXu Brochure
DataXu Mazda MX5 financial 728x90,DataXu Financial
DataXu Mazda SUV financial 160x600,DataXu Financial
PKB46N_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda CX-3 & CX-5 Dual Message_Prospecting_FAST_Set 1_2017_160 x 600_Desktop_RON,Captify Prospecting
PKB46Q_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda CX-3 & CX-5 Dual Message_Prospecting_FAST_Set 1_2017_120 x 600_Desktop_RON,Captify Prospecting
PKB46R_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda CX-3 & CX-5 Dual Message_Prospecting_FAST_Set 1_2017_300 x 250_Desktop_RON,Captify Prospecting
PKB46T_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda CX-3 & CX-5 Dual Message_Prospecting_FAST_Set 1_2017_468 x 60_Desktop_RON,Captify Prospecting
PKB46W_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda CX-3 & CX-5 Dual Message_Prospecting_FAST_Set 1_2017_728 x 90_Desktop_RON,Captify Prospecting
PKB4BF_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda CX-3_Prospecting_FAST_Set 1_2017_120 x 600_Desktop_RON,Captify Prospecting
PKB4BJ_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda CX-3_Prospecting_FAST_Set 1_2017_160 x 600_Desktop_RON,Captify Prospecting
PKB4BQ_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda CX-3_Prospecting_FAST_Set 1_2017_300 x 250_Desktop_RON,Captify Prospecting
PKB4BY_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda CX-3_Prospecting_FAST_Set 1_2017_468 x 60_Desktop_RON,Captify Prospecting
PKB4C5_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda CX-3_Prospecting_FAST_Set 1_2017_728 x 90_Desktop_RON,Captify Prospecting
PKB4GC_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda CX-5_Prospecting_FAST_Set 1_2017_120 x 600_Desktop_RON,Captify Prospecting
PKB4GD_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda CX-6_Prospecting_FAST_Set 1_2017_120 x 600_Desktop_RON,Captify Prospecting
PKB4GG_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda CX-5_Prospecting_FAST_Set 1_2017_160 x 600_Desktop_RON,Captify Prospecting
PKB4GL_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda CX-6_Prospecting_FAST_Set 1_2017_160 x 600_Desktop_RON,Captify Prospecting
PKB4GW_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda CX-5_Prospecting_FAST_Set 1_2017_300 x 250_Desktop_RON,Captify Prospecting
PKB4GZ_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda CX-6_Prospecting_FAST_Set 1_2017_300 x 250_Desktop_RON,Captify Prospecting
PKB4H8_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda CX-5_Prospecting_FAST_Set 1_2017_468 x 60_Desktop_RON,Captify Prospecting
PKB4H9_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda CX-6_Prospecting_FAST_Set 1_2017_468 x 60_Desktop_RON,Captify Prospecting
PKB4HK_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda CX-5_Prospecting_FAST_Set 1_2017_728 x 90_Desktop_RON,Captify Prospecting
PKB4HP_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda CX-6_Prospecting_FAST_Set 1_2017_728 x 90_Desktop_RON,Captify Prospecting
PKB4V5_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda MX-5_Prospecting_FAST_Set 1_2017_160 x 600_Desktop_RON,Captify Prospecting
PKB4V7_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda 2_Prospecting_FAST_Set 1_2017_160 x 600_Desktop_RON,Captify Prospecting
PKB4VK_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda MX-5_Prospecting_FAST_Set 1_2017_728 x 90_Desktop_RON,Captify Prospecting
PKB4VL_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda 2_Prospecting_FAST_Set 1_2017_728 x 90_Desktop_RON,Captify Prospecting
PKB4VN_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda MX-5_Prospecting_FAST_Set 1_2017_120 x 600_Desktop_RON,Captify Prospecting
PKB4VP_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda 2_Prospecting_FAST_Set 1_2017_120 x 600_Desktop_RON,Captify Prospecting
PKB4VS_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda MX-5_Prospecting_FAST_Set 1_2017_300 x 250_Desktop_RON,Captify Prospecting
PKB4VZ_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda MX-5_Prospecting_FAST_Set 1_2017_468 x 60_Desktop_RON,Captify Prospecting
PKB4W0_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda 2_Prospecting_FAST_Set 1_2017_468 x 60_Desktop_RON,Captify Prospecting
PKB52R_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda 3_Prospecting_FAST_Set 1_2017_120 x 600_Desktop_RON,Captify Prospecting
PKB52T_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda CX-3 & CX-5 Dual Message_Prospecting_FAST_Set 1_2017_120 x 600_Desktop_RON,Captify Prospecting
PKB52X_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda 3_Prospecting_FAST_Set 1_2017_160 x 600_Desktop_RON,Captify Prospecting
PKB52Y_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda CX-3 & CX-5 Dual Message_Prospecting_FAST_Set 1_2017_160 x 600_Desktop_RON,Captify Prospecting
PKB530_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda 3_Prospecting_FAST_Set 1_2017_300 x 250_Desktop_RON,Captify Prospecting
PKB532_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda CX-3 & CX-5 Dual Message_Prospecting_FAST_Set 1_2017_300 x 250_Desktop_RON,Captify Prospecting
PKB535_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda 3_Prospecting_FAST_Set 1_2017_468 x 60_Desktop_RON,Captify Prospecting
PKB536_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda CX-3 & CX-5 Dual Message_Prospecting_FAST_Set 1_2017_468 x 60_Desktop_RON,Captify Prospecting
PKB53H_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda 3_Prospecting_FAST_Set 1_2017_728 x 90_Desktop_RON,Captify Prospecting
PKB53P_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda CX-3 & CX-5 Dual Message_Prospecting_FAST_Set 1_2017_728 x 90_Desktop_RON,Captify Prospecting
PKB59W_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda CX-3_Prospecting_FAST_Set 1_2017_120 x 600_Desktop_RON,Captify Prospecting
PKB59X_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda CX-5_Prospecting_FAST_Set 1_2017_120 x 600_Desktop_RON,Captify Prospecting
PKB5B1_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda CX-3_Prospecting_FAST_Set 1_2017_160 x 600_Desktop_RON,Captify Prospecting
PKB5B3_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda CX-5_Prospecting_FAST_Set 1_2017_160 x 600_Desktop_RON,Captify Prospecting
PKB5Q9_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda CX-3_Prospecting_FAST_Set 1_2017_300 x 250_Desktop_RON,Captify Prospecting
PKB5QB_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda CX-5_Prospecting_FAST_Set 1_2017_300 x 250_Desktop_RON,Captify Prospecting
PKB5QF_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda CX-3_Prospecting_FAST_Set 1_2017_468 x 60_Desktop_RON,Captify Prospecting
PKB5QJ_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda CX-5_Prospecting_FAST_Set 1_2017_468 x 60_Desktop_RON,Captify Prospecting
PKB5QL_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda CX-3_Prospecting_FAST_Set 1_2017_728 x 90_Desktop_RON,Captify Prospecting
PKB5QM_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda CX-5_Prospecting_FAST_Set 1_2017_728 x 90_Desktop_RON,Captify Prospecting
PKB622_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda CX-6_Prospecting_FAST_Set 1_2017_120 x 600_Desktop_RON,Captify Prospecting
PKB623_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda MX-5_Prospecting_FAST_Set 1_2017_120 x 600_Desktop_RON,Captify Prospecting
PKB62B_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda CX-6_Prospecting_FAST_Set 1_2017_160 x 600_Desktop_RON,Captify Prospecting
PKB62C_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda MX-5_Prospecting_FAST_Set 1_2017_160 x 600_Desktop_RON,Captify Prospecting
PKB62G_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda CX-6_Prospecting_FAST_Set 1_2017_300 x 250_Desktop_RON,Captify Prospecting
PKB62J_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda MX-5_Prospecting_FAST_Set 1_2017_300 x 250_Desktop_RON,Captify Prospecting
PKB62T_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda CX-6_Prospecting_FAST_Set 1_2017_468 x 60_Desktop_RON,Captify Prospecting
PKB62V_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda MX-5_Prospecting_FAST_Set 1_2017_468 x 60_Desktop_RON,Captify Prospecting
PKB633_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda CX-6_Prospecting_FAST_Set 1_2017_728 x 90_Desktop_RON,Captify Prospecting
PKB634_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda MX-5_Prospecting_FAST_Set 1_2017_728 x 90_Desktop_RON,Captify Prospecting
PKB69T_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda 2_Prospecting_FAST_Set 1_2017_300 x 250_Mobile_RON,Captify Prospecting
PKB69V_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda 3_Prospecting_FAST_Set 1_2017_300 x 250_Mobile_RON,Captify Prospecting
PKB69X_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda CX-3_Prospecting_FAST_Set 1_2017_300 x 250_Mobile_RON,Captify Prospecting
PKB69Y_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda CX-5_Prospecting_FAST_Set 1_2017_300 x 250_Mobile_RON,Captify Prospecting
PKB69Z_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda CX-6_Prospecting_FAST_Set 1_2017_300 x 250_Mobile_RON,Captify Prospecting
PKB6B0_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda MX-5_Prospecting_FAST_Set 1_2017_300 x 250_Mobile_RON,Captify Prospecting
PKB6B1_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda 2_Prospecting_FAST_Set 1_2017_300 x 250_Mobile_RON,Captify Prospecting
PKB6B2_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda 3_Prospecting_FAST_Set 1_2017_300 x 250_Mobile_RON,Captify Prospecting
PKB6B4_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda CX-3_Prospecting_FAST_Set 1_2017_300 x 250_Mobile_RON,Captify Prospecting
PKB6B5_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda CX-5_Prospecting_FAST_Set 1_2017_300 x 250_Mobile_RON,Captify Prospecting
PKB6B6_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda CX-6_Prospecting_FAST_Set 1_2017_300 x 250_Mobile_RON,Captify Prospecting
PKB6B7_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda MX-5_Prospecting_FAST_Set 1_2017_300 x 250_Mobile_RON,Captify Prospecting
PK3W1X_CarBuyer_Mazda 2 Keywords_300 x 250_Cross Device_Site Specific,Car Buyer Keyword Targeting
PK3W4Q_CarBuyer_Mazda 3 Keywords_300 x 250_Cross device_Site Specific,Car Buyer Keyword Targeting
PK3W5Y_CarBuyer_Mazda 6 Keywords_300 x 250_Cross Device_Site Specific,Car Buyer Keyword Targeting
PK3W70_CarBuyer_MX-5 Keywords_300 x 250_Cross Device_Site Specific,Car Buyer Keyword Targeting
PK3W7S_CarBuyer_CX-3 Keywords_300 x 250_Cross Device_Site Specific,Car Buyer Keyword Targeting
PK3W8S_CarBuyer_CX-5 Keywords_300 x 250_Cross Device_Site Specific,Car Buyer Keyword Targeting
PK4HDG_AUTO EXPRESS_Mazda 2 Keywords_300 x 250_Cross Device_Site Specific,Auto Express Keyword Targeting
PK4HDH_AUTO EXPRESS_Mazda 3 Keywords_300 x 250_Cross Device_Site Specific,Auto Express Keyword Targeting
PK4HDJ_AUTO EXPRESS_Mazda 6 Keywords_300 x 250_Cross Device_Site Specific,Auto Express Keyword Targeting
PK4HDL_AUTO EXPRESS_MX-5 Keywords_300 x 250_Cross Device_Site Specific,Auto Express Keyword Targeting
PK4HDM_AUTO EXPRESS_CX-3 Keywords_300 x 250_Cross Device_Site Specific,Auto Express Keyword Targeting
PK4HGH_AUTO EXPRESS_CX-5 Keywords_300 x 250_Cross Device_Site Specific,Auto Express Keyword Targeting
DataXu Mazda 2 brochure 160x600,DataXu Brochure
DataXu Mazda 2 brochure 300x250,DataXu Brochure
DataXu Mazda 2 brochure 468x60,DataXu Brochure
DataXu Mazda 2 brochure 728x90,DataXu Brochure
DataXu Mazda 2 configure 300x250,DataXu Configure
DataXu Mazda 2 default 160x600,DataXu Default
DataXu Mazda 2 financial 160x600,DataXu Financial
DataXu Mazda 2 financial 300x250,DataXu Financial
DataXu Mazda 2 learnmore 160x600,DataXu Learnmore
DataXu Mazda 3 brochure 120x600,DataXu Brochure
DataXu Mazda 3 brochure 160x600,DataXu Brochure
DataXu Mazda 3 brochure 468x60,DataXu Brochure
DataXu Mazda 3 financial 120x600,DataXu Financial
DataXu Mazda 3 financial 160x600,DataXu Financial
DataXu Mazda 3 financial 468x60,DataXu Financial
DataXu Mazda 3 financial 728x90,DataXu Financial
DataXu Mazda 6 brochure 120x600,DataXu Brochure
DataXu Mazda 6 brochure 160x600,DataXu Brochure
DataXu Mazda 6 brochure 468x60,DataXu Brochure
DataXu Mazda 6 financial 120x600,DataXu Financial
DataXu Mazda 6 financial 160x600,DataXu Financial
DataXu Mazda 6 financial 300x250,DataXu Financial
DataXu Mazda 6 financial 468x60,DataXu Financial
DataXu Mazda 6 financial 728x90,DataXu Financial
DataXu Mazda MX5 brochure 160x600,DataXu Brochure
DataXu Mazda MX5 brochure 300x250,DataXu Brochure
DataXu Mazda MX5 brochure 728x90,DataXu Brochure
DataXu Mazda MX5 configure 300x250,DataXu Configure
DataXu Mazda MX5 financial 120x600,DataXu Financial
DataXu Mazda MX5 financial 160x600,DataXu Financial
DataXu Mazda MX5 financial 300x250,DataXu Financial
DataXu Mazda MX5 learnmore 120x600,DataXu Learnmore
DataXu Mazda SUV brochure 120x600,DataXu Brochure
DataXu Mazda SUV brochure 160x600,DataXu Brochure
DataXu Mazda SUV brochure 300x250,DataXu Brochure
DataXu Mazda SUV brochure 468x60,DataXu Brochure
DataXu Mazda SUV brochure 728x90,DataXu Brochure
DataXu Mazda SUV financial 120x600,DataXu Financial
DataXu Mazda SUV financial 300x250,DataXu Financial
DataXu Mazda SUV financial 468x60,DataXu Financial
DataXu Mazda SUV financial 728x90,DataXu Financial
DataXu Mazda 2 default 300x250,DataXu Default
DataXu Mazda 2 learnmore 300x250,DataXu Learnmore
DataXu Mazda 2 testdrive 300x250,DataXu Testdrive
PKGFM2_PARKERS_Mazda2_Added Value_FY152P3InMarket_300 x 250_Cross Platform_Audience,Parkers Added Value
PKGFM3_PARKERS_Mazda3_Added Value_FY152P3InMarket_300 x 250_Cross Platform_Audience,Parkers Added Value
PKGFM5_PARKERS_Mazda6_Added Value_FY152P3InMarket_300 x 250_Cross Platform_Audience,Parkers Added Value
PKGFM6_PARKERS_MX5_Added Value_FY152P3InMarket_300 x 250_Cross Platform_Audience,Parkers Added Value
AUTO TRADER DIGITAL_InSearch_1x1_Jun_2Weeks_Mazda2_Bespoke_Desktop_Desktop_Site Specific - AUTO TRADER DIGITAL_InSearch_1x1_Jun_2Weeks_CX3_Bespoke_Desktop_Desktop_Site Specific_Non-Standard - Click Tracker,Auto Trader In Search
AUTO TRADER DIGITAL_InSearch_1x1_Jun_2Weeks_Mazda2_Bespoke_Desktop_Desktop_Site Specific - AUTO TRADER DIGITAL_InSearch_1x1_Jun_2Weeks_Mazda2_Bespoke_Desktop_Desktop_Site Specific_Non-Standard - Click Tracker,Auto Trader In Search
Motoring- Mazda CX3 Keywords- MPU_1 - motoring_cx3_keywords_300x250_suv_MPU,Motoring Keyword Targeting
Motoring- Mazda CX5 Keywords- MPU - motoring_cx5_keywords_300x250_suv_MPU,Motoring Keyword Targeting
