Application,Channel,Clicks,Contact,Conversions,Date,Download,Free Trial,Impressions,Market,Other Activity,Other Dynamic Floodlight,Product,Publisher,Purchase,Social Platform Conversions,Solution,Spend,Spend Local
0,SEARCH,0,0,0,2018-12-01,0,0,0,FR,,0,Unassigned,Google AdWords,0,0,Unassigned,0,0
0,SEARCH,0,0,0,2018-12-02,0,0,0,FR,,0,Unassigned,Bing Ads,0,0,Unassigned,0,0
0,SEARCH,0,0,0,2018-12-02,0,0,0,FR,,0,Unassigned,Google AdWords,0,0,Unassigned,0,0
0,SEARCH,0,0,0,2018-12-03,0,0,0,FR,,0,Unassigned,Bing Ads,0,0,Unassigned,0,0
0,SEARCH,17,0,0,2018-12-03,0,0,150,FR,34,0,Unassigned,Google AdWords,0,0,Unassigned,14.33,16.66
0,SEARCH,0,0,0,2018-12-04,0,0,0,FR,,0,Unassigned,Bing Ads,0,0,Unassigned,0,0
0,SEARCH,13,0,0,2018-12-04,0,0,149,FR,36,1,Unassigned,Google AdWords,0,0,Unassigned,12.64,14.7
0,SEARCH,0,0,0,2018-12-05,0,0,0,FR,,0,Unassigned,Bing Ads,0,0,Unassigned,0,0
0,SEARCH,14,0,0,2018-12-05,0,0,119,FR,29,1,Unassigned,Google AdWords,0,0,Unassigned,15.05,17.5
0,SEARCH,0,0,0,2018-12-06,0,0,0,FR,,0,Unassigned,Bing Ads,0,0,Unassigned,0,0
0,SEARCH,10,0,0,2018-12-06,0,0,107,FR,35,0,Unassigned,Google AdWords,0,0,Unassigned,7.72,8.97
0,SEARCH,0,0,0,2018-12-07,0,0,0,FR,,0,Unassigned,Bing Ads,0,0,Unassigned,0,0
0,SEARCH,5,1,2,2018-12-07,0,1,112,FR,13,0,Unassigned,Google AdWords,1,0,Unassigned,10.42,12.12
0,SEARCH,0,0,0,2018-12-08,0,0,0,FR,,0,Unassigned,Bing Ads,0,0,Unassigned,0,0
0,SEARCH,5,0,0,2018-12-08,0,0,39,FR,9,0,Unassigned,Google AdWords,0,0,Unassigned,4.81,5.6
0,SEARCH,0,0,0,2018-12-09,0,0,0,FR,,0,Unassigned,Bing Ads,0,0,Unassigned,0,0
0,SEARCH,7,0,0,2018-12-09,0,0,41,FR,8,0,Unassigned,Google AdWords,0,0,Unassigned,6.74,7.84
0,SEARCH,0,0,0,2018-12-10,0,0,0,FR,,0,Unassigned,Bing Ads,0,0,Unassigned,0,0
0,SEARCH,13,0,2,2018-12-10,0,2,132,FR,40,0,Unassigned,Google AdWords,0,0,Unassigned,14.86,17.28
0,SEARCH,0,0,0,2018-12-11,0,0,0,FR,,0,Unassigned,Bing Ads,0,0,Unassigned,0,0
0,SEARCH,17,2,3,2018-12-11,0,1,158,FR,49,0,Unassigned,Google AdWords,0,0,Unassigned,19.03,22.13
0,SEARCH,0,0,0,2018-12-12,0,0,0,FR,,0,Unassigned,Bing Ads,0,0,Unassigned,0,0
0,SEARCH,15,1,1,2018-12-12,0,0,149,FR,46,0,Unassigned,Google AdWords,0,0,Unassigned,14.02,16.31
0,SEARCH,0,0,0,2018-12-13,0,0,0,FR,,0,Unassigned,Bing Ads,0,0,Unassigned,0,0
0,SEARCH,17,0,0,2018-12-13,0,0,148,FR,37,0,Unassigned,Google AdWords,0,0,Unassigned,17.61,20.49
0,SEARCH,0,0,0,2018-12-14,0,0,0,FR,,0,Unassigned,Bing Ads,0,0,Unassigned,0,0
0,SEARCH,8,0,1,2018-12-14,0,1,114,FR,23,0,Unassigned,Google AdWords,0,0,Unassigned,5.44,6.33
0,SEARCH,0,0,0,2018-12-15,0,0,0,FR,,0,Unassigned,Bing Ads,0,0,Unassigned,0,0
0,SEARCH,4,0,0,2018-12-15,0,0,47,FR,5,0,Unassigned,Google AdWords,0,0,Unassigned,4.19,4.87
0,SEARCH,0,0,0,2018-12-16,0,0,0,FR,,0,Unassigned,Bing Ads,0,0,Unassigned,0,0
0,SEARCH,4,0,0,2018-12-16,0,0,37,FR,4,0,Unassigned,Google AdWords,0,0,Unassigned,4.64,5.4
0,SEARCH,0,0,0,2018-12-17,0,0,0,FR,,0,Unassigned,Bing Ads,0,0,Unassigned,0,0
0,SEARCH,10,0,0,2018-12-17,0,0,120,FR,52,0,Unassigned,Google AdWords,0,0,Unassigned,7.26,8.44
0,SEARCH,0,0,0,2018-12-18,0,0,0,FR,,0,Unassigned,Bing Ads,0,0,Unassigned,0,0
0,SEARCH,10,0,0,2018-12-18,0,0,127,FR,19,1,Unassigned,Google AdWords,0,0,Unassigned,9.16,10.65
0,SEARCH,0,0,0,2018-12-19,0,0,0,FR,,0,Unassigned,Bing Ads,0,0,Unassigned,0,0
0,SEARCH,14,0,1,2018-12-19,0,1,108,FR,25,0,Unassigned,Google AdWords,0,0,Unassigned,16.06,18.67
0,SEARCH,0,0,0,2018-12-20,0,0,0,FR,,0,Unassigned,Bing Ads,0,0,Unassigned,0,0
0,SEARCH,9,0,0,2018-12-20,0,0,103,FR,20,0,Unassigned,Google AdWords,0,0,Unassigned,6.86,7.98
0,SEARCH,0,0,0,2018-12-21,0,0,0,FR,,0,Unassigned,Bing Ads,0,0,Unassigned,0,0
0,SEARCH,12,0,0,2018-12-21,0,0,100,FR,21,0,Unassigned,Google AdWords,0,0,Unassigned,12.15,14.13
0,SEARCH,0,0,0,2018-12-22,0,0,0,FR,,0,Unassigned,Bing Ads,0,0,Unassigned,0,0
0,SEARCH,2,0,0,2018-12-22,0,0,39,FR,7,0,Unassigned,Google AdWords,0,0,Unassigned,3.22,3.75
0,SEARCH,0,0,0,2018-12-23,0,0,0,FR,,0,Unassigned,Bing Ads,0,0,Unassigned,0,0
0,SEARCH,2,0,0,2018-12-23,0,0,20,FR,14,0,Unassigned,Google AdWords,0,0,Unassigned,1.3,1.51
0,SEARCH,0,0,0,2018-12-24,0,0,0,FR,,0,Unassigned,Bing Ads,0,0,Unassigned,0,0
0,SEARCH,0,0,0,2018-12-24,0,0,0,FR,,0,Unassigned,Google AdWords,0,0,Unassigned,0,0
0,SEARCH,0,0,0,2018-12-25,0,0,0,FR,,0,Unassigned,Bing Ads,0,0,Unassigned,0,0
0,SEARCH,0,0,0,2018-12-25,0,0,0,FR,,0,Unassigned,Google AdWords,0,0,Unassigned,0,0
0,SEARCH,0,0,0,2018-12-26,0,0,0,FR,,0,Unassigned,Bing Ads,0,0,Unassigned,0,0
0,SEARCH,0,0,0,2018-12-26,0,0,0,FR,,0,Unassigned,Google AdWords,0,0,Unassigned,0,0
0,SEARCH,0,0,0,2018-12-27,0,0,0,FR,,0,Unassigned,Bing Ads,0,0,Unassigned,0,0
0,SEARCH,0,0,0,2018-12-27,0,0,0,FR,,0,Unassigned,Google AdWords,0,0,Unassigned,0,0
0,SEARCH,0,0,0,2018-12-28,0,0,0,FR,,0,Unassigned,Bing Ads,0,0,Unassigned,0,0
0,SEARCH,0,0,0,2018-12-28,0,0,0,FR,,0,Unassigned,Google AdWords,0,0,Unassigned,0,0
0,SEARCH,0,0,0,2018-12-29,0,0,0,FR,,0,Unassigned,Bing Ads,0,0,Unassigned,0,0
0,SEARCH,0,0,0,2018-12-29,0,0,0,FR,,0,Unassigned,Google AdWords,0,0,Unassigned,0,0
0,SEARCH,0,0,0,2018-12-30,0,0,0,FR,,0,Unassigned,Bing Ads,0,0,Unassigned,0,0
0,SEARCH,0,0,0,2018-12-30,0,0,0,FR,,0,Unassigned,Google AdWords,0,0,Unassigned,0,0
0,SEARCH,0,0,0,2018-12-31,0,0,0,FR,,0,Unassigned,Bing Ads,0,0,Unassigned,0,0
0,SEARCH,0,0,0,2018-12-31,0,0,0,FR,,0,Unassigned,Google AdWords,0,0,Unassigned,0,0
0,SEARCH,0,0,0,2018-12-01,0,0,0,HK,,0,Accounting Brand,Google AdWords,0,0,Accounting Brand,0,0
0,SEARCH,0,0,0,2018-12-02,0,0,0,HK,,0,Accounting Brand,Google AdWords,0,0,Accounting Brand,0,0
0,SEARCH,0,0,0,2018-12-03,0,0,0,HK,,0,Accounting Brand,Google AdWords,0,0,Accounting Brand,0,0
0,SEARCH,0,0,0,2018-12-04,0,0,0,HK,,0,Accounting Brand,Google AdWords,0,0,Accounting Brand,0,0
0,SEARCH,0,0,0,2018-12-05,0,0,0,HK,,0,Accounting Brand,Google AdWords,0,0,Accounting Brand,0,0
0,SEARCH,0,0,0,2018-12-06,0,0,0,HK,,0,Accounting Brand,Google AdWords,0,0,Accounting Brand,0,0
0,SEARCH,0,0,0,2018-12-07,0,0,0,HK,,0,Accounting Brand,Google AdWords,0,0,Accounting Brand,0,0
0,SEARCH,0,0,0,2018-12-08,0,0,0,HK,,0,Accounting Brand,Google AdWords,0,0,Accounting Brand,0,0
0,SEARCH,0,0,0,2018-12-09,0,0,0,HK,,0,Accounting Brand,Google AdWords,0,0,Accounting Brand,0,0
0,SEARCH,0,0,0,2018-12-10,0,0,0,HK,,0,Accounting Brand,Google AdWords,0,0,Accounting Brand,0,0
0,SEARCH,0,0,0,2018-12-11,0,0,0,HK,,0,Accounting Brand,Google AdWords,0,0,Accounting Brand,0,0
0,SEARCH,0,0,0,2018-12-12,0,0,0,HK,,0,Accounting Brand,Google AdWords,0,0,Accounting Brand,0,0
0,SEARCH,0,0,0,2018-12-13,0,0,0,HK,,0,Accounting Brand,Google AdWords,0,0,Accounting Brand,0,0
0,SEARCH,0,0,0,2018-12-14,0,0,0,HK,,0,Accounting Brand,Google AdWords,0,0,Accounting Brand,0,0
0,SEARCH,0,0,0,2018-12-15,0,0,0,HK,,0,Accounting Brand,Google AdWords,0,0,Accounting Brand,0,0
0,SEARCH,0,0,0,2018-12-16,0,0,0,HK,,0,Accounting Brand,Google AdWords,0,0,Accounting Brand,0,0
0,SEARCH,0,0,0,2018-12-17,0,0,0,HK,,0,Accounting Brand,Google AdWords,0,0,Accounting Brand,0,0
0,SEARCH,0,0,0,2018-12-18,0,0,0,HK,,0,Accounting Brand,Google AdWords,0,0,Accounting Brand,0,0
0,SEARCH,0,0,0,2018-12-19,0,0,0,HK,,0,Accounting Brand,Google AdWords,0,0,Accounting Brand,0,0
0,SEARCH,0,0,0,2018-12-20,0,0,0,HK,,0,Accounting Brand,Google AdWords,0,0,Accounting Brand,0,0
0,SEARCH,0,0,0,2018-12-21,0,0,0,HK,,0,Accounting Brand,Google AdWords,0,0,Accounting Brand,0,0
0,SEARCH,0,0,0,2018-12-22,0,0,0,HK,,0,Accounting Brand,Google AdWords,0,0,Accounting Brand,0,0
0,SEARCH,0,0,0,2018-12-23,0,0,0,HK,,0,Accounting Brand,Google AdWords,0,0,Accounting Brand,0,0
0,SEARCH,0,0,0,2018-12-24,0,0,0,HK,,0,Accounting Brand,Google AdWords,0,0,Accounting Brand,0,0
0,SEARCH,0,0,0,2018-12-25,0,0,0,HK,,0,Accounting Brand,Google AdWords,0,0,Accounting Brand,0,0
0,SEARCH,0,0,0,2018-12-26,0,0,2,HK,,0,Accounting Brand,Google AdWords,0,0,Accounting Brand,0,0
0,SEARCH,2,0,0,2018-12-27,0,0,4,HK,,0,Accounting Brand,Google AdWords,0,0,Accounting Brand,3.8,6.8
0,SEARCH,0,0,0,2018-12-28,0,0,2,HK,,0,Accounting Brand,Google AdWords,0,0,Accounting Brand,0,0
0,SEARCH,0,0,0,2018-12-29,0,0,2,HK,,0,Accounting Brand,Google AdWords,0,0,Accounting Brand,0,0
0,SEARCH,0,0,0,2018-12-30,0,0,3,HK,,0,Accounting Brand,Google AdWords,0,0,Accounting Brand,0,0
0,SEARCH,1,0,0,2018-12-31,0,0,3,HK,,0,Accounting Brand,Google AdWords,0,0,Accounting Brand,0.95,1.7
0,SEARCH,0,0,0,2018-12-01,0,0,0,HK,,0,Accounting Generic,Google AdWords,0,0,Accounting Generic,0,0
0,SEARCH,0,0,0,2018-12-02,0,0,0,HK,,0,Accounting Generic,Google AdWords,0,0,Accounting Generic,0,0
0,SEARCH,0,0,0,2018-12-03,0,0,0,HK,,0,Accounting Generic,Google AdWords,0,0,Accounting Generic,0,0
0,SEARCH,0,0,0,2018-12-04,0,0,0,HK,,0,Accounting Generic,Google AdWords,0,0,Accounting Generic,0,0
0,SEARCH,0,0,0,2018-12-05,0,0,0,HK,,0,Accounting Generic,Google AdWords,0,0,Accounting Generic,0,0
0,SEARCH,0,0,0,2018-12-06,0,0,0,HK,,0,Accounting Generic,Google AdWords,0,0,Accounting Generic,0,0
0,SEARCH,0,0,0,2018-12-07,0,0,0,HK,,0,Accounting Generic,Google AdWords,0,0,Accounting Generic,0,0
0,SEARCH,0,0,0,2018-12-08,0,0,0,HK,,0,Accounting Generic,Google AdWords,0,0,Accounting Generic,0,0
0,SEARCH,0,0,0,2018-12-09,0,0,0,HK,,0,Accounting Generic,Google AdWords,0,0,Accounting Generic,0,0
0,SEARCH,0,0,0,2018-12-10,0,0,0,HK,,0,Accounting Generic,Google AdWords,0,0,Accounting Generic,0,0
0,SEARCH,0,0,0,2018-12-11,0,0,0,HK,,0,Accounting Generic,Google AdWords,0,0,Accounting Generic,0,0
0,SEARCH,0,0,0,2018-12-12,0,0,0,HK,,0,Accounting Generic,Google AdWords,0,0,Accounting Generic,0,0
0,SEARCH,10,0,0,2018-12-01,0,0,47,AUS,10,0,Accountants Brand,Google AdWords,0,0,Accountants Brand,3.16,5.38
0,SEARCH,7,0,1,2018-12-02,1,0,37,AUS,25,0,Accountants Brand,Google AdWords,0,0,Accountants Brand,1.28,2.17
0,SEARCH,29,2,5,2018-12-03,2,1,164,AUS,54,0,Accountants Brand,Google AdWords,0,0,Accountants Brand,8.63,14.62
0,SEARCH,24,0,0,2018-12-04,0,0,153,AUS,34,0,Accountants Brand,Google AdWords,0,0,Accountants Brand,20.99,35.59
0,SEARCH,21,0,0,2018-12-05,0,0,151,AUS,43,0,Accountants Brand,Google AdWords,0,0,Accountants Brand,15.11,25.62
0,SEARCH,19,1,1,2018-12-06,0,0,95,AUS,53,0,Accountants Brand,Google AdWords,0,0,Accountants Brand,4.77,8.09
0,SEARCH,7,0,0,2018-12-07,0,0,61,AUS,14,0,Accountants Brand,Google AdWords,0,0,Accountants Brand,1.57,2.67
0,SEARCH,6,0,0,2018-12-08,0,0,41,AUS,7,0,Accountants Brand,Google AdWords,0,0,Accountants Brand,1.16,1.97
0,SEARCH,1,0,0,2018-12-09,0,0,40,AUS,15,0,Accountants Brand,Google AdWords,0,0,Accountants Brand,0.17,0.29
0,SEARCH,24,0,1,2018-12-10,1,0,124,AUS,52,0,Accountants Brand,Google AdWords,0,0,Accountants Brand,6.56,11.14
0,SEARCH,18,0,0,2018-12-11,0,0,113,AUS,47,0,Accountants Brand,Google AdWords,0,0,Accountants Brand,4.83,8.18
0,SEARCH,13,0,0,2018-12-12,0,0,84,AUS,42,0,Accountants Brand,Google AdWords,0,0,Accountants Brand,20.32,34.45
0,SEARCH,12,1,1,2018-12-13,0,0,61,AUS,28,0,Accountants Brand,Google AdWords,0,0,Accountants Brand,4.19,7.1
0,SEARCH,19,3,4,2018-12-14,0,1,124,AUS,33,0,Accountants Brand,Google AdWords,0,0,Accountants Brand,4.56,7.73
0,SEARCH,4,0,0,2018-12-15,0,0,30,AUS,8,0,Accountants Brand,Google AdWords,0,0,Accountants Brand,1.07,1.82
0,SEARCH,4,0,0,2018-12-16,0,0,36,AUS,13,0,Accountants Brand,Google AdWords,0,0,Accountants Brand,2.38,4.03
0,SEARCH,20,1,1,2018-12-17,0,0,131,AUS,35,0,Accountants Brand,Google AdWords,0,0,Accountants Brand,7.46,12.66
0,SEARCH,11,0,0,2018-12-18,0,0,128,AUS,57,0,Accountants Brand,Google AdWords,0,0,Accountants Brand,15.12,25.61
0,SEARCH,31,0,0,2018-12-19,0,0,177,AUS,33,0,Accountants Brand,Google AdWords,0,0,Accountants Brand,9.43,15.99
0,SEARCH,26,1,3,2018-12-20,2,0,140,AUS,48,0,Accountants Brand,Google AdWords,0,0,Accountants Brand,7.16,12.15
0,SEARCH,11,0,0,2018-12-21,0,0,91,AUS,21,0,Accountants Brand,Google AdWords,0,0,Accountants Brand,20.08,34.04
0,SEARCH,5,0,0,2018-12-22,0,0,29,AUS,7,0,Accountants Brand,Google AdWords,0,0,Accountants Brand,1.24,2.1
0,SEARCH,5,0,0,2018-12-23,0,0,28,AUS,9,0,Accountants Brand,Google AdWords,0,0,Accountants Brand,15.29,25.91
0,SEARCH,7,0,1,2018-12-24,1,0,35,AUS,12,0,Accountants Brand,Google AdWords,0,0,Accountants Brand,1.45,2.47
0,SEARCH,3,0,0,2018-12-25,0,0,13,AUS,2,0,Accountants Brand,Google AdWords,0,0,Accountants Brand,0.41,0.7
0,SEARCH,0,0,0,2018-12-26,0,0,22,AUS,5,0,Accountants Brand,Google AdWords,0,0,Accountants Brand,0,0
0,SEARCH,5,0,0,2018-12-27,0,0,42,AUS,14,0,Accountants Brand,Google AdWords,0,0,Accountants Brand,0.3,0.51
0,SEARCH,7,0,0,2018-12-28,0,0,45,AUS,10,0,Accountants Brand,Google AdWords,0,0,Accountants Brand,2.11,3.57
0,SEARCH,5,0,0,2018-12-29,0,0,23,AUS,9,0,Accountants Brand,Google AdWords,0,0,Accountants Brand,1.99,3.38
0,SEARCH,0,0,0,2018-12-30,0,0,16,AUS,3,0,Accountants Brand,Google AdWords,0,0,Accountants Brand,0,0
0,SEARCH,1,0,0,2018-12-31,0,0,18,AUS,3,0,Accountants Brand,Google AdWords,0,0,Accountants Brand,0.11,0.18
0,SEARCH,6,0,0,2018-12-01,0,0,505,AUS,4,0,Accountants Generic,Google AdWords,0,0,Accountants Generic,43.64,73.98
0,SEARCH,8,0,0,2018-12-02,0,0,887,AUS,9,0,Accountants Generic,Google AdWords,0,0,Accountants Generic,46,77.96
0,SEARCH,10,0,0,2018-12-03,0,0,1196,AUS,11,0,Accountants Generic,Google AdWords,0,0,Accountants Generic,52.31,88.67
0,SEARCH,8,2,3,2018-12-04,0,1,413,AUS,10,0,Accountants Generic,Google AdWords,0,0,Accountants Generic,54.53,92.43
0,SEARCH,7,0,0,2018-12-05,0,0,364,AUS,11,0,Accountants Generic,Google AdWords,0,0,Accountants Generic,50.17,85.03
0,SEARCH,8,0,0,2018-12-06,0,0,657,AUS,7,0,Accountants Generic,Google AdWords,0,0,Accountants Generic,51.77,87.75
0,SEARCH,6,0,0,2018-12-07,0,0,469,AUS,5,0,Accountants Generic,Google AdWords,0,0,Accountants Generic,44.18,74.88
0,SEARCH,5,0,0,2018-12-08,0,0,326,AUS,9,0,Accountants Generic,Google AdWords,0,0,Accountants Generic,42.22,71.55
0,SEARCH,6,0,0,2018-12-09,0,0,208,AUS,6,0,Accountants Generic,Google AdWords,0,0,Accountants Generic,35.07,59.45
0,SEARCH,5,1,1,2018-12-10,0,0,355,AUS,5,0,Accountants Generic,Google AdWords,0,0,Accountants Generic,27.25,46.19
0,SEARCH,6,0,0,2018-12-11,0,0,369,AUS,4,0,Accountants Generic,Google AdWords,0,0,Accountants Generic,39.66,67.24
0,SEARCH,4,0,0,2018-12-12,0,0,469,AUS,7,0,Accountants Generic,Google AdWords,0,0,Accountants Generic,27.63,46.83
0,SEARCH,3,0,0,2018-12-13,0,0,280,AUS,4,0,Accountants Generic,Google AdWords,0,0,Accountants Generic,21.33,36.16
0,SEARCH,4,0,0,2018-12-14,0,0,966,AUS,6,0,Accountants Generic,Google AdWords,0,0,Accountants Generic,23.37,39.62
0,SEARCH,3,0,0,2018-12-15,0,0,364,AUS,3,0,Accountants Generic,Google AdWords,0,0,Accountants Generic,20.86,35.36
0,SEARCH,3,0,0,2018-12-16,0,0,243,AUS,3,0,Accountants Generic,Google AdWords,0,0,Accountants Generic,22.28,37.76
0,SEARCH,4,0,1,2018-12-17,1,0,406,AUS,8,0,Accountants Generic,Google AdWords,0,0,Accountants Generic,25.27,42.84
0,SEARCH,5,0,0,2018-12-18,0,0,271,AUS,4,0,Accountants Generic,Google AdWords,0,0,Accountants Generic,26.79,45.41
0,SEARCH,3,1,1,2018-12-19,0,0,162,AUS,8,0,Accountants Generic,Google AdWords,0,0,Accountants Generic,22.9,38.81
0,SEARCH,12,0,0,2018-12-20,0,0,970,AUS,16,0,Accountants Generic,Google AdWords,0,0,Accountants Generic,106.19,179.99
0,SEARCH,10,0,0,2018-12-21,0,0,1105,AUS,16,0,Accountants Generic,Google AdWords,0,0,Accountants Generic,75.21,127.49
0,SEARCH,4,0,0,2018-12-22,0,0,283,AUS,4,0,Accountants Generic,Google AdWords,0,0,Accountants Generic,42.01,71.21
0,SEARCH,3,0,0,2018-12-23,0,0,323,AUS,4,0,Accountants Generic,Google AdWords,0,0,Accountants Generic,34.89,59.13
0,SEARCH,4,0,0,2018-12-24,0,0,219,AUS,6,0,Accountants Generic,Google AdWords,0,0,Accountants Generic,37.91,64.26
0,SEARCH,5,0,0,2018-12-25,0,0,272,AUS,4,0,Accountants Generic,Google AdWords,0,0,Accountants Generic,36.8,62.38
0,SEARCH,7,0,0,2018-12-26,0,0,353,AUS,7,0,Accountants Generic,Google AdWords,0,0,Accountants Generic,49.99,84.74
0,SEARCH,11,0,0,2018-12-27,0,0,376,AUS,11,0,Accountants Generic,Google AdWords,0,0,Accountants Generic,88.49,149.98
0,SEARCH,9,0,0,2018-12-28,0,0,772,AUS,10,0,Accountants Generic,Google AdWords,0,0,Accountants Generic,82.06,139.08
0,SEARCH,9,0,0,2018-12-29,0,0,925,AUS,11,0,Accountants Generic,Google AdWords,0,0,Accountants Generic,61.41,104.09
0,SEARCH,7,0,0,2018-12-30,0,0,469,AUS,8,0,Accountants Generic,Google AdWords,0,0,Accountants Generic,64.63,109.55
0,SEARCH,11,0,0,2018-12-31,0,0,1080,AUS,4,0,Accountants Generic,Google AdWords,0,0,Accountants Generic,87.78,148.79
0,SEARCH,21,0,0,2018-12-01,0,0,155,AUS,46,0,Accounting Brand,Google AdWords,0,0,Accounting Brand,13.11,22.23
0,SEARCH,25,0,1,2018-12-02,0,1,112,AUS,108,0,Accounting Brand,Google AdWords,0,0,Accounting Brand,22.66,38.41
0,SEARCH,53,4,11,2018-12-03,0,7,383,AUS,254,0,Accounting Brand,Google AdWords,0,0,Accounting Brand,50.84,86.14
0,SEARCH,57,0,0,2018-12-04,0,0,387,AUS,203,0,Accounting Brand,Google AdWords,0,0,Accounting Brand,57.28,97.08
0,SEARCH,50,2,2,2018-12-05,0,0,318,AUS,262,0,Accounting Brand,Google AdWords,0,0,Accounting Brand,40.78,69.1
0,SEARCH,38,1,3,2018-12-06,0,2,258,AUS,221,0,Accounting Brand,Google AdWords,0,0,Accounting Brand,33.19,56.25
0,SEARCH,35,0,0,2018-12-07,0,0,186,AUS,114,0,Accounting Brand,Google AdWords,0,0,Accounting Brand,29.99,50.82
0,SEARCH,17,1,2,2018-12-08,0,1,189,AUS,62,0,Accounting Brand,Google AdWords,0,0,Accounting Brand,18.32,31.02
0,SEARCH,19,0,1,2018-12-09,0,1,152,AUS,108,0,Accounting Brand,Google AdWords,0,0,Accounting Brand,23.59,39.99
0,SEARCH,58,2,2,2018-12-10,0,0,338,AUS,250,0,Accounting Brand,Google AdWords,0,0,Accounting Brand,32.26,54.69
0,SEARCH,36,1,1,2018-12-11,0,0,242,AUS,258,0,Accounting Brand,Google AdWords,0,0,Accounting Brand,19.29,32.7
0,SEARCH,38,7,12,2018-12-12,1,4,274,AUS,248,0,Accounting Brand,Google AdWords,0,0,Accounting Brand,21.31,36.12
